21:35:09 [INFO] [ScanEngine][Job 49] Starting Discovery Phase...
21:35:18 [INFO] [ScanEngine][Job 49] Discovery finished. Unique targets: 15
21:35:18 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/search.php ---
21:35:18 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:35:19 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:35:32 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/artists.php ---
21:35:32 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:35:34 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:35:49 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/guestbook.php ---
21:35:49 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:35:52 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:36:10 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/categories.php ---
21:36:10 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:36:11 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:36:24 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/index.php ---
21:36:24 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:36:25 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:36:39 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/AJAX/index.php ---
21:36:39 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:36:39 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:36:52 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/disclaimer.php ---
21:36:52 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:36:53 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:37:07 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/userinfo.php ---
21:37:07 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:37:12 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:39:58 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/privacy.php ---
21:39:58 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:39:58 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:40:13 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/cart.php ---
21:40:13 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:40:15 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:40:28 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/login.php ---
21:40:28 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:40:31 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:43:13 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/listproducts.php ---
21:43:13 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:43:15 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:43:28 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/Mod_Rewrite_Shop/ ---
21:43:28 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:43:28 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:43:41 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/hpp/ ---
21:43:41 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:43:41 [INFO] [ScanEngine][Job 49] Running DOM Scan...
21:43:55 [INFO] [ScanEngine] --- Analyzing: http://testphp.vulnweb.com/signup.php ---
21:43:55 [INFO] [ScanEngine][Job 49] Running Reflected Scan...
21:44:01 [INFO] [ScanEngine][Job 49] Running DOM Scan...
